,School,Wins,FG%,FT%,3P%,ORB,TRB,AST,STL,BLK,TOV,PF,tWins
203,Nevada,15,0.448,0.754,0.354,191,854,347,133,72,303,473,0
204,New Hampshire,10,0.402,0.684,0.319,205,706,213,104,55,209,344,0
205,New Mexico State,10,0.423,0.723,0.307,214,624,219,88,39,206,294,0
206,New Mexico,6,0.413,0.594,0.263,283,816,262,118,85,311,372,0
207,New Orleans,9,0.472,0.732,0.322,235,818,365,169,65,385,479,0
208,Niagara,8,0.411,0.706,0.323,141,564,213,101,33,178,295,0
209,Nicholls State,17,0.461,0.672,0.334,252,876,313,211,75,300,429,0
210,NJIT,7,0.404,0.691,0.305,168,596,181,127,42,212,336,0
211,Norfolk State,14,0.435,0.698,0.364,215,772,248,131,67,275,409,0
212,North Alabama,13,0.428,0.745,0.337,263,936,272,141,77,332,423,0
213,North Carolina-Asheville,10,0.476,0.606,0.358,186,669,254,140,87,302,368,0
214,North Carolina A&T,11,0.421,0.658,0.319,228,736,285,183,56,294,367,0
215,North Carolina Central,5,0.43,0.703,0.347,114,422,160,99,34,192,270,0
216,North Carolina-Greensboro,21,0.424,0.683,0.3,370,1142,356,217,114,319,524,0
217,North Carolina State,13,0.473,0.697,0.363,214,715,288,186,104,284,358,0
218,North Carolina-Wilmington,7,0.437,0.766,0.345,162,548,206,103,60,190,306,0
219,North Carolina,16,0.442,0.671,0.309,383,1069,393,178,109,379,422,0
220,North Dakota State,15,0.444,0.759,0.338,244,956,269,100,68,327,412,0
221,North Dakota,9,0.428,0.698,0.337,214,844,306,134,55,340,448,0
222,North Florida,8,0.445,0.714,0.366,204,751,296,102,76,344,386,0
223,North Texas,13,0.484,0.731,0.372,186,734,297,152,63,301,352,1
224,Northeastern,10,0.438,0.742,0.354,126,623,234,119,44,257,299,0
225,Northern Arizona,5,0.414,0.681,0.34,168,570,211,109,29,231,351,0
226,Northern Colorado,10,0.444,0.659,0.37,154,687,215,90,49,280,360,0
227,Northern Illinois,3,0.399,0.615,0.324,243,684,204,110,65,261,342,0
228,Northern Iowa,10,0.443,0.683,0.325,229,894,329,161,64,326,380,0
229,Northern Kentucky,14,0.446,0.705,0.307,305,871,295,161,41,312,417,0
230,Northwestern State,10,0.432,0.671,0.344,275,957,346,182,81,394,503,0
231,Northwestern,9,0.439,0.728,0.356,171,768,343,139,61,270,403,0
232,Notre Dame,10,0.463,0.77,0.368,166,805,364,102,91,251,306,0
233,Oakland,12,0.419,0.699,0.335,337,1018,430,241,54,376,428,0
234,Ohio State,18,0.46,0.77,0.361,253,934,329,119,86,271,470,0
235,Ohio,13,0.484,0.703,0.351,191,690,362,136,47,239,320,1
236,Oklahoma State,18,0.466,0.711,0.338,275,968,328,184,105,400,424,1
237,Oklahoma,14,0.438,0.742,0.333,234,838,307,169,76,244,339,1
238,Old Dominion,15,0.449,0.691,0.292,216,795,274,167,81,280,353,0
239,Oral Roberts,15,0.455,0.824,0.394,212,878,315,162,100,290,445,2
240,Oregon State,14,0.432,0.76,0.342,271,882,383,160,90,293,487,3
241,Oregon,19,0.469,0.712,0.38,225,802,318,178,86,278,377,2
242,Pacific,9,0.438,0.679,0.299,182,622,233,116,61,215,335,0
243,Penn State,10,0.407,0.73,0.341,281,836,303,183,54,262,410,0
245,Pepperdine,12,0.456,0.78,0.322,193,834,381,151,70,319,462,0
246,Pittsburgh,10,0.43,0.673,0.333,267,806,312,130,75,263,362,0
247,Portland State,9,0.401,0.667,0.3,276,800,240,172,66,288,420,0
248,Portland,6,0.411,0.775,0.339,138,600,250,132,61,292,340,0
249,Prairie View,14,0.453,0.667,0.302,191,615,302,182,78,257,378,0
250,Presbyterian,7,0.416,0.685,0.306,248,739,235,154,49,334,440,0
252,Providence,13,0.433,0.711,0.322,262,893,340,141,77,290,422,0
253,Purdue,18,0.452,0.72,0.335,281,980,370,136,85,330,458,0
254,Quinnipiac,9,0.407,0.699,0.327,160,760,267,118,98,301,403,0
255,Radford,15,0.457,0.681,0.313,297,999,301,164,48,403,424,0
256,Rhode Island,10,0.442,0.668,0.312,266,962,303,164,114,353,444,0
257,Rice,13,0.438,0.727,0.354,252,943,382,137,53,378,352,0
258,Richmond,13,0.474,0.73,0.354,135,635,305,186,44,222,320,0
259,Rider,6,0.426,0.737,0.35,200,748,273,110,46,277,418,0
260,Robert Morris,4,0.443,0.656,0.36,207,646,299,124,57,254,348,0
261,Rutgers,14,0.452,0.624,0.316,239,858,336,190,127,271,417,1
262,Sacramento State,8,0.453,0.682,0.358,182,608,246,133,43,198,342,0
263,Sacred Heart,9,0.412,0.741,0.329,195,647,241,88,38,233,299,0
264,Saint Francis (PA),6,0.427,0.714,0.309,228,779,282,127,47,312,378,0
265,Saint Joseph's,5,0.409,0.725,0.314,165,675,287,120,36,281,358,0
266,Saint Louis,14,0.464,0.703,0.352,249,774,353,141,63,241,341,0
267,Saint Mary's (CA),14,0.421,0.729,0.293,198,792,241,142,72,260,387,0
268,Saint Peter's,13,0.394,0.695,0.317,257,860,267,192,124,345,470,0
269,Sam Houston State,19,0.453,0.693,0.354,306,995,420,232,84,386,553,0
270,Samford,6,0.444,0.686,0.312,222,755,283,129,47,308,397,0
271,San Diego State,20,0.454,0.72,0.38,240,877,340,199,68,281,438,0
272,San Diego,3,0.416,0.65,0.304,112,469,185,94,48,185,252,0
273,San Francisco,11,0.427,0.717,0.341,226,833,295,179,81,292,483,0
274,San Jose State,5,0.39,0.645,0.312,164,688,198,97,57,255,329,0
275,Santa Clara,12,0.434,0.684,0.306,164,729,240,88,78,260,357,0
276,Seattle,11,0.419,0.74,0.314,220,716,251,137,77,226,398,0
277,Seton Hall,13,0.445,0.739,0.323,249,854,326,161,106,322,403,0
278,Siena,12,0.459,0.669,0.344,148,565,207,88,52,202,240,0
279,South Alabama,17,0.441,0.718,0.362,269,996,314,200,91,333,434,0
280,South Carolina State,1,0.388,0.621,0.317,175,563,178,106,50,312,334,0
281,South Carolina Upstate,5,0.424,0.72,0.337,186,717,276,143,57,325,426,0
282,South Carolina,6,0.418,0.652,0.308,256,723,270,172,74,304,383,0
283,South Dakota State,16,0.498,0.716,0.404,178,822,327,127,71,283,370,0
284,South Dakota,14,0.469,0.78,0.389,180,870,349,114,61,268,467,0
285,South Florida,8,0.403,0.642,0.324,252,745,227,109,53,289,346,0
286,Southeast Missouri State,11,0.429,0.671,0.352,258,949,374,185,64,415,513,0
287,Southeastern Louisiana,7,0.396,0.669,0.303,289,825,241,157,60,387,474,0
288,Southern California,21,0.465,0.644,0.343,340,1077,374,133,141,339,415,3
289,SIU Edwardsville,9,0.441,0.68,0.318,226,852,337,153,121,413,438,0
290,Southern Illinois,12,0.451,0.665,0.375,139,772,352,160,48,311,370,0
291,Southern Methodist,11,0.457,0.738,0.34,153,559,230,92,68,208,257,0
292,Southern Mississippi,8,0.434,0.674,0.324,201,847,285,140,48,337,384,0
293,Southern Utah,19,0.478,0.739,0.337,245,874,317,156,56,270,372,0
294,Southern,8,0.434,0.672,0.328,171,654,257,143,49,289,375,0
295,St. Bonaventure,15,0.451,0.729,0.35,216,703,284,117,74,211,290,0
296,St. Francis (NY),9,0.446,0.735,0.331,216,688,271,153,66,229,383,0
297,St. John's (NY),16,0.452,0.749,0.349,288,931,430,238,104,332,469,0
298,Stanford,14,0.467,0.715,0.321,204,883,323,183,90,392,434,0
299,Stephen F. Austin,16,0.521,0.68,0.337,243,749,331,199,73,348,419,0
300,Stetson,11,0.437,0.698,0.379,259,870,351,178,68,331,404,0
301,Stony Brook,9,0.412,0.682,0.296,262,875,278,129,114,318,387,0
