,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Cleveland State,25,18,7,.720,-4.10,-4.58,,16,4,,9,2,,8,5,,1778,1766,,67.4,103.0,.329,.350,.532,49.7,52.9,10.1,7.0,.505,16.4,31.2,.221
62,Coastal Carolina,23,16,7,.696,-1.92,-7.92,,9,5,,12,1,,3,5,,1836,1535,,71.8,110.5,.319,.394,.562,56.7,54.6,11.7,12.7,.531,17.4,37.8,.233
63,Colgate,13,12,1,.923,19.09,1.93,,11,1,,6,1,,6,0,,1105,882,,72.3,116.4,.328,.366,.591,53.0,54.8,9.7,8.8,.563,12.5,26.7,.240
64,College of Charleston,19,9,10,.474,-4.08,-2.26,,6,4,,8,6,,1,3,,1341,1329,,64.7,106.3,.292,.396,.552,49.4,41.8,7.9,8.4,.525,14.0,24.7,.207
65,Colorado State,22,17,5,.773,9.19,-0.81,,14,4,,10,1,,6,4,,1669,1447,,69.9,108.5,.349,.447,.603,52.0,58.4,7.9,7.6,.564,18.4,24.2,.278
66,Colorado,27,20,7,.741,17.47,6.73,,14,6,,11,1,,6,6,,1990,1700,,66.8,110.2,.297,.360,.567,53.1,52.5,8.0,7.8,.523,14.7,29.9,.248
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
68,Connecticut,20,14,6,.700,16.34,9.19,,11,6,,7,3,,6,3,,1446,1303,,66.4,108.2,.294,.335,.534,53.6,48.7,9.3,15.0,.502,15.2,36.4,.213
69,Coppin State,21,9,12,.429,-11.44,-5.82,,8,4,,5,3,,4,9,,1541,1659,,79.4,92.4,.433,.494,.517,43.7,53.4,10.9,8.0,.488,18.0,18.6,.271
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
71,Creighton,25,18,7,.720,18.04,8.68,,14,6,,11,3,,7,4,,1961,1727,,70.0,111.0,.279,.445,.578,49.6,56.0,10.2,9.6,.564,13.9,24.2,.182
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.71,4.11,,7,4,,7,4,,4,2,,1518,1336,,63.7,112.8,.262,.491,.581,53.8,57.8,8.0,8.2,.563,14.7,28.4,.180
74,Dayton,23,14,9,.609,7.59,5.07,,9,7,,8,3,,4,6,,1614,1556,,66.4,102.9,.345,.416,.583,50.5,55.7,6.6,5.3,.555,19.5,23.7,.248
75,Delaware State,19,3,16,.158,-23.65,-5.89,,1,11,,3,6,,0,10,,1345,1629,,77.1,91.2,.302,.416,.497,46.5,46.2,8.3,9.4,.460,19.2,26.9,.217
76,Delaware,15,7,8,.467,-4.30,-4.16,,5,4,,6,3,,1,4,,1013,1012,,67.8,99.6,.375,.405,.542,51.6,54.2,6.8,9.6,.505,18.7,26.9,.267
77,Denver,21,2,19,.095,-17.15,-6.55,,1,13,,2,10,,0,9,,1466,1662,,71.4,96.7,.340,.344,.539,46.8,48.4,7.9,7.5,.503,18.6,22.1,.245
78,DePaul,17,4,13,.235,4.14,9.49,,2,13,,2,8,,2,5,,1120,1211,,70.6,92.0,.220,.288,.486,50.5,46.4,9.8,11.7,.463,19.0,31.9,.149
79,Detroit Mercy,22,12,10,.545,-2.30,-4.85,,10,6,,7,5,,5,5,,1683,1627,,68.2,111.5,.253,.446,.582,49.1,52.7,9.9,7.2,.551,14.9,27.0,.203
80,Dixie State,21,8,13,.381,-14.84,-4.26,,4,10,,5,7,,3,6,,1461,1603,,74.0,94.0,.348,.341,.511,47.0,62.5,9.2,5.3,.471,18.3,25.3,.249
81,Drake,29,25,4,.862,9.73,-1.45,,15,3,,14,1,,9,2,,2245,1875,,66.8,114.9,.244,.314,.573,53.8,46.0,10.6,8.4,.552,13.2,31.6,.174
82,Drexel,18,11,7,.611,0.26,-4.25,,4,5,,3,2,,4,5,,1295,1214,,66.3,108.5,.285,.358,.576,53.3,58.4,7.3,6.6,.543,17.0,29.3,.221
83,Duke,22,11,11,.500,12.75,9.84,,9,9,,8,5,,3,6,,1668,1604,,69.6,107.8,.232,.385,.552,51.2,55.8,11.6,11.9,.532,15.9,31.5,.162
84,Duquesne,18,9,9,.500,3.43,3.60,,7,7,,5,2,,2,5,,1205,1208,,68.4,98.0,.316,.370,.504,50.2,55.0,9.8,13.0,.476,16.7,31.0,.206
85,East Carolina,18,8,10,.444,1.57,3.98,,2,10,,7,6,,1,4,,1207,1219,,69.0,96.5,.336,.332,.504,49.1,67.5,8.7,10.4,.462,16.3,27.2,.245
86,East Tennessee State,25,13,12,.520,2.10,0.75,,8,7,,8,4,,3,5,,1736,1654,,67.6,102.2,.299,.406,.537,52.2,47.6,10.8,8.5,.509,17.3,29.7,.208
87,Eastern Illinois,27,9,18,.333,-12.07,-6.55,,6,14,,5,7,,4,11,,1874,2023,,70.2,97.6,.257,.354,.515,48.9,50.9,10.0,8.8,.493,17.4,28.7,.169
88,Eastern Kentucky,29,22,7,.759,-2.05,-7.61,,15,5,,10,2,,9,4,,2372,2137,,76.1,105.6,.255,.400,.544,47.5,52.9,13.3,9.2,.519,14.6,26.7,.180
89,Eastern Michigan,18,6,12,.333,-12.98,0.02,,3,11,,5,4,,1,8,,1267,1362,,71.4,98.6,.303,.382,.514,46.7,44.2,12.5,7.0,.475,15.2,25.1,.226
90,Eastern Washington,20,13,7,.650,2.22,-4.62,,12,3,,7,2,,6,5,,1586,1432,,72.3,109.7,.297,.402,.576,49.9,54.1,6.8,7.3,.540,14.0,23.3,.234
91,Elon,18,10,8,.556,-4.36,-3.83,,4,7,,4,2,,3,6,,1193,1172,,67.1,98.7,.257,.444,.520,51.2,46.9,8.1,6.9,.488,15.7,25.3,.191
92,Evansville,25,9,16,.360,-4.42,0.42,,7,11,,8,4,,1,10,,1619,1740,,62.4,102.3,.254,.490,.556,45.6,51.0,7.7,6.3,.532,15.8,19.0,.182
93,Fairfield,23,7,16,.304,-12.14,-5.70,,7,11,,4,8,,3,8,,1427,1575,,65.9,93.7,.331,.355,.494,50.9,47.9,7.0,5.9,.457,17.4,28.2,.229
