,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
287,Southeastern Louisiana,24,7,17,.292,-16.89,-7.31,,5,11,,3,4,,4,13,,1641,1871,,71.6,107.3,.375,.392,.586,51.2,58.4,9.1,9.7,.550,19.1,30.0,.282
288,Southern California,27,21,6,.778,17.67,7.45,,15,5,,13,2,,7,3,,2007,1731,,67.8,93.6,.242,.353,.482,44.4,54.3,8.2,7.1,.451,15.3,27.0,.174
289,SIU Edwardsville,26,9,17,.346,-14.37,-5.45,,7,12,,2,8,,6,7,,1709,1897,,69.8,104.6,.333,.384,.544,51.6,59.0,11.4,6.6,.517,17.0,31.0,.227
290,Southern Illinois,26,12,14,.462,-3.23,1.05,,5,13,,8,5,,3,8,,1704,1770,,65.8,102.5,.236,.406,.550,53.5,56.9,9.6,10.3,.527,16.9,24.7,.170
291,Southern Methodist,15,11,4,.733,12.05,4.38,,7,4,,6,2,,5,2,,1114,999,,70.4,94.5,.340,.386,.497,48.3,57.6,9.9,10.8,.460,17.3,28.8,.235
292,Southern Mississippi,24,8,16,.333,-6.54,-1.95,,4,13,,6,7,,2,9,,1553,1607,,68.5,97.3,.292,.446,.525,49.1,52.3,10.0,5.7,.496,17.2,23.7,.205
293,Southern Utah,22,19,3,.864,0.22,-6.55,,12,2,,14,0,,5,3,,1853,1506,,73.0,93.8,.281,.389,.512,43.6,52.2,7.0,7.5,.488,17.0,21.1,.186
294,Southern,18,8,10,.444,-12.96,-12.80,,8,6,,5,2,,3,7,,1260,1263,,73.2,94.5,.408,.317,.512,48.5,47.3,10.1,10.3,.469,17.9,25.3,.283
295,St. Bonaventure,19,15,4,.789,14.94,4.73,,11,4,,8,1,,4,3,,1336,1142,,65.0,92.5,.278,.437,.480,47.1,58.5,7.9,7.8,.454,17.1,29.2,.179
296,St. Francis (NY),19,9,10,.474,-8.22,-6.38,,9,9,,4,6,,5,4,,1476,1511,,73.6,107.4,.391,.340,.566,50.6,52.1,8.2,9.2,.527,17.3,30.3,.289
297,St. John's (NY),26,16,10,.615,10.73,8.11,,10,9,,11,3,,4,6,,2063,1995,,74.3,102.3,.311,.373,.552,51.1,52.7,9.3,8.9,.528,19.2,30.0,.211
298,Stanford,26,14,12,.538,9.09,8.24,,10,10,,5,4,,6,6,,1825,1803,,69.8,97.5,.270,.400,.513,49.7,51.3,9.9,9.7,.478,17.6,28.8,.202
299,Stephen F. Austin,21,16,5,.762,-1.63,-8.47,,13,3,,10,1,,6,4,,1686,1484,,72.7,96.1,.411,.357,.547,44.6,54.4,10.4,7.5,.501,21.9,26.9,.307
300,Stetson,25,11,14,.440,-7.28,-4.46,,7,9,,7,5,,3,8,,1800,1767,,68.7,102.4,.296,.378,.549,49.2,56.9,8.4,9.3,.521,16.8,26.2,.210
301,Stony Brook,23,9,14,.391,-5.20,-3.79,,7,9,,5,5,,4,8,,1522,1509,,67.7,95.8,.295,.398,.506,48.3,54.4,9.5,7.9,.474,17.0,27.0,.206
302,Syracuse,23,15,8,.652,13.20,8.42,,9,7,,13,1,,2,7,,1738,1628,,70.3,100.1,.246,.438,.515,51.4,69.2,8.1,8.8,.485,17.7,33.1,.182
303,Tarleton State,20,10,10,.500,-8.07,-3.80,,5,7,,6,3,,4,7,,1467,1246,,69.2,90.1,.415,.462,.528,51.3,70.9,5.0,8.9,.484,24.8,28.5,.297
304,Temple,15,5,10,.333,3.33,6.40,,4,10,,3,5,,2,5,,982,1028,,67.9,100.9,.310,.389,.511,50.4,55.7,8.3,10.0,.477,14.3,28.2,.219
305,Tennessee-Martin,24,8,16,.333,-18.85,-5.33,,6,14,,6,7,,2,9,,1571,1847,,68.7,110.8,.362,.419,.588,53.3,63.5,9.8,8.8,.562,18.1,33.3,.254
306,Tennessee State,23,4,19,.174,-13.48,-6.62,,3,17,,4,8,,0,11,,1573,1702,,72.5,101.0,.433,.367,.546,53.1,52.0,8.3,11.1,.507,19.4,30.9,.303
307,Tennessee Tech,27,5,22,.185,-13.45,-3.15,,5,15,,5,6,,0,16,,1797,2075,,70.2,109.0,.267,.384,.570,50.6,63.1,10.4,9.0,.548,15.9,27.8,.188
308,Tennessee,24,17,7,.708,18.13,8.38,,10,7,,13,3,,4,4,,1739,1505,,68.4,91.6,.312,.378,.500,48.3,45.9,9.4,6.4,.462,20.0,28.1,.224
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.69,-6.02,,2,13,,4,8,,1,10,,1554,1716,,71.3,100.3,.315,.347,.532,51.6,58.4,12.0,8.2,.496,17.3,28.2,.233
310,Texas A&M,17,8,9,.471,3.02,5.20,,2,8,,6,4,,2,4,,1089,1126,,66.0,100.4,.288,.466,.548,49.1,67.7,10.2,11.6,.532,20.1,29.8,.183
311,Texas-Arlington,26,13,13,.500,-6.90,-4.25,,9,8,,9,4,,3,8,,1916,1827,,71.6,97.7,.286,.355,.517,51.1,58.4,8.5,8.0,.487,17.8,30.0,.201
312,Texas Christian,25,12,13,.480,3.93,7.65,,5,11,,6,7,,3,6,,1688,1781,,67.7,104.8,.294,.346,.533,49.7,59.3,10.2,10.5,.506,14.7,29.1,.204
313,Texas-El Paso,23,12,11,.522,1.49,1.39,,8,8,,10,2,,2,9,,1628,1568,,69.6,97.5,.366,.326,.526,50.4,45.9,7.5,7.3,.487,16.7,23.6,.260
314,Texas-Rio Grande Valley,18,9,9,.500,-9.47,-5.90,,2,5,,8,3,,1,6,,1315,1210,,74.8,89.9,.426,.320,.492,50.0,59.5,9.0,8.2,.446,21.6,31.6,.290
315,Texas-San Antonio,24,14,10,.583,-1.33,-0.33,,9,7,,12,2,,2,8,,1911,1764,,73.7,99.7,.343,.387,.531,48.6,50.2,7.7,7.0,.491,16.9,26.4,.252
316,Texas Southern,21,13,8,.619,-8.56,-10.31,,10,3,,8,2,,5,6,,1553,1475,,74.6,94.2,.326,.388,.505,46.3,50.0,8.9,8.1,.468,17.7,25.5,.232
317,Texas State,25,18,7,.720,-3.66,-7.18,,12,3,,8,3,,9,3,,1660,1543,,64.6,94.1,.327,.402,.525,47.6,52.1,9.0,7.0,.493,20.3,25.4,.228
318,Texas Tech,26,17,9,.654,16.72,6.68,,9,8,,11,4,,5,4,,1906,1645,,67.1,93.4,.373,.383,.511,48.3,44.4,8.5,6.9,.475,20.5,29.1,.255
319,Texas,24,17,7,.708,16.22,9.52,,11,6,,8,5,,6,2,,1798,1637,,69.5,96.6,.374,.337,.502,47.2,40.6,8.0,9.8,.463,15.6,26.2,.255
320,Toledo,27,20,7,.741,8.53,-1.43,,15,4,,12,1,,7,5,,2196,1927,,70.3,100.7,.236,.407,.509,49.6,46.3,7.7,8.9,.480,15.1,30.0,.171
321,Towson,18,4,14,.222,-8.97,-1.47,,3,9,,4,4,,0,6,,1214,1349,,66.8,110.6,.293,.409,.555,48.5,48.5,8.0,7.9,.526,13.8,30.3,.212
322,Troy,28,11,17,.393,-11.42,-3.42,,4,12,,7,4,,2,11,,1829,1942,,70.2,98.4,.301,.382,.522,48.8,53.4,11.3,11.3,.496,16.8,25.8,.202
323,Tulane,21,9,12,.429,0.98,2.93,,4,12,,6,6,,3,6,,1341,1382,,68.1,96.6,.307,.422,.521,53.7,67.4,8.0,9.8,.496,19.7,29.8,.203
324,Tulsa,22,11,11,.500,5.06,6.01,,7,9,,7,5,,4,4,,1503,1432,,68.0,95.7,.344,.426,.507,51.2,55.5,10.8,7.5,.479,19.0,30.9,.221
325,UCLA,25,17,8,.680,12.93,8.25,,13,6,,11,1,,5,6,,1815,1698,,65.4,101.3,.271,.389,.537,47.0,49.3,7.3,7.2,.507,15.8,23.9,.199
326,Utah State,25,18,7,.720,11.01,0.14,,13,4,,10,2,,5,3,,1859,1572,,70.1,89.7,.257,.423,.503,42.4,53.8,9.1,8.5,.469,18.8,20.3,.190
327,Utah Valley,21,11,10,.524,-3.57,-2.52,,9,4,,8,4,,3,6,,1570,1557,,72.1,102.2,.342,.341,.527,45.4,54.4,9.5,7.2,.483,13.9,23.7,.259
328,Utah,23,11,12,.478,9.75,7.10,,8,11,,8,5,,3,7,,1620,1559,,67.4,100.6,.260,.356,.534,52.0,52.8,9.4,10.6,.506,17.5,30.2,.189
329,Valparaiso,28,10,18,.357,-3.63,1.71,,7,11,,6,6,,4,11,,1821,1902,,68.3,98.5,.278,.358,.523,52.9,52.8,8.8,7.2,.496,16.7,25.8,.192
330,Vanderbilt,23,8,15,.348,6.57,7.44,,3,13,,6,7,,2,8,,1652,1672,,69.9,104.0,.344,.373,.556,50.4,51.9,10.0,14.4,.524,17.5,27.8,.247
331,Vermont,15,10,5,.667,2.88,-6.72,,10,4,,6,3,,4,2,,1095,951,,66.4,93.9,.335,.400,.507,47.1,43.9,7.5,6.7,.470,17.0,23.2,.235
332,Villanova,21,16,5,.762,18.50,9.65,,11,4,,9,0,,4,4,,1591,1405,,66.4,100.2,.249,.406,.538,48.6,48.5,6.1,9.1,.520,16.9,24.4,.164
333,Virginia Commonwealth,25,19,6,.760,12.57,5.41,,10,4,,12,2,,5,3,,1799,1620,,70.6,91.3,.356,.353,.497,50.1,51.3,9.3,8.4,.458,20.7,30.9,.245
334,VMI,25,13,12,.520,0.26,-0.10,,7,7,,11,1,,1,10,,2001,1897,,72.3,103.8,.233,.432,.521,48.7,46.6,9.4,8.1,.500,12.4,24.7,.157
335,Virginia Tech,20,15,5,.750,14.09,6.74,,9,4,,10,2,,3,3,,1442,1295,,66.2,96.6,.302,.397,.514,47.1,46.8,8.7,9.6,.482,15.8,23.5,.213
336,Virginia,23,17,6,.739,16.98,8.59,,13,4,,10,1,,6,3,,1575,1382,,60.8,98.4,.244,.371,.510,47.9,52.1,8.3,7.5,.479,13.7,22.2,.180
337,Wagner,20,13,7,.650,-3.36,-5.91,,13,5,,7,3,,6,4,,1425,1374,,66.8,101.0,.443,.397,.548,47.5,58.4,9.2,8.6,.503,18.5,28.1,.320
338,Wake Forest,21,6,15,.286,2.78,9.28,,3,15,,5,6,,1,9,,1381,1503,,67.5,105.4,.335,.360,.561,51.3,54.0,11.5,15.7,.534,16.3,26.0,.234
339,Washington State,26,14,12,.538,6.14,4.71,,7,12,,11,5,,3,6,,1794,1757,,68.4,96.0,.328,.333,.504,47.8,55.9,9.6,10.4,.467,16.3,26.4,.232
340,Washington,25,5,20,.200,-0.47,9.53,,4,16,,4,7,,1,9,,1664,1914,,70.6,108.4,.341,.325,.538,55.9,57.6,8.3,8.7,.504,14.5,35.1,.242
341,Weber State,22,17,5,.773,2.89,-6.16,,12,3,,11,0,,6,5,,1806,1514,,72.5,94.9,.307,.360,.512,48.6,51.6,8.4,6.1,.477,17.3,24.6,.220
342,West Virginia,26,18,8,.692,16.05,10.55,,11,6,,8,5,,7,2,,2018,1875,,70.6,100.8,.283,.375,.530,47.9,51.7,8.7,6.0,.503,17.7,30.8,.198
343,Western Carolina,27,11,16,.407,-6.80,-1.40,,4,13,,6,5,,4,9,,2039,2129,,72.2,106.7,.272,.398,.558,50.4,48.0,9.8,7.8,.537,14.4,24.5,.188
344,Western Illinois,22,7,15,.318,-12.64,-4.78,,5,9,,2,5,,4,9,,1606,1746,,73.5,108.0,.382,.341,.575,48.9,51.0,7.9,10.5,.540,14.9,22.9,.278
345,Western Kentucky,24,18,6,.750,5.19,-0.14,,11,3,,11,2,,5,3,,1773,1645,,70.2,97.1,.230,.401,.522,44.5,48.2,10.2,10.2,.495,17.0,23.5,.169
346,Western Michigan,21,5,16,.238,-10.16,0.14,,4,12,,2,9,,3,7,,1325,1511,,68.3,105.4,.251,.384,.523,51.7,41.3,11.4,7.2,.494,12.8,28.8,.182
347,Wichita State,19,15,4,.789,10.35,7.41,,11,2,,10,2,,5,2,,1393,1289,,69.0,97.0,.288,.384,.489,50.5,50.3,7.8,7.1,.456,15.7,32.5,.199
348,William & Mary,17,7,10,.412,-10.28,-3.04,,4,6,,1,3,,5,6,,1101,1224,,67.2,106.3,.238,.347,.536,51.6,52.7,10.4,14.9,.510,14.6,31.8,.173
349,Winthrop,24,23,1,.958,5.25,-7.50,,17,1,,11,1,,10,0,,1909,1603,,72.8,91.8,.338,.364,.519,43.7,43.4,8.2,9.0,.490,20.2,22.0,.224
350,Wisconsin,27,16,11,.593,18.16,12.31,,10,10,,11,5,,5,6,,1887,1729,,65.8,96.4,.293,.343,.511,51.0,52.0,6.5,10.4,.479,16.1,24.6,.207
351,Wofford,24,15,9,.625,2.31,0.31,,12,5,,9,3,,6,4,,1784,1627,,67.6,99.8,.248,.422,.530,48.4,48.4,9.4,9.8,.507,16.8,26.0,.170
352,Wright State,24,18,6,.750,8.08,-6.47,,16,4,,9,4,,9,2,,1967,1618,,72.1,93.0,.218,.329,.478,43.8,44.2,9.9,5.2,.451,14.6,25.0,.153
353,Wyoming,23,13,10,.565,-2.60,-2.56,,5,9,,7,5,,4,5,,1738,1739,,70.1,106.8,.345,.308,.560,53.4,44.9,8.1,11.8,.530,16.4,28.7,.243
354,Xavier,20,13,7,.650,12.60,7.70,,6,7,,11,2,,2,5,,1502,1404,,70.4,99.2,.238,.373,.505,49.4,57.5,7.9,7.3,.474,14.4,27.1,.174
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-8.61,-7.00,,9,11,,10,5,,5,7,,2010,1950,,69.1,103.1,.262,.396,.553,48.7,52.5,8.2,7.8,.527,17.9,28.5,.188
