Quarter,Time,Down,ToGo,Location,Detail,MIN,CIN,EPB,EPA
2,0:07,3,20,MIN 30,Kirk Cousins pass complete short left to Justin Jefferson for 9 yards (tackle by Chidobe Awuzie). Penalty on Garrett Bradbury: Offensive Holding 10 yards (declined),7,14,-0.960,-0.780
2,0:10,4,11,MIN 39,Jordan Berry punts 52 yards returned by Darius Phillips for 15 yards (tackle by Andrew DePaola),7,14,-0.780,1.530
3,15:00,,,MIN 35,Greg Joseph kicks off 65 yards touchback.,7,14,0.000,0.610
3,15:00,1,10,CIN 25,Joe Mixon right tackle for 3 yards (tackle by Eric Kendricks),7,14,0.610,0.470
3,14:22,2,7,CIN 28,Joe Mixon right tackle for 6 yards (tackle by D.J. Wonnum),7,14,0.470,0.560
3,13:41,3,1,CIN 34,Joe Burrow pass complete short right to Joe Mixon for 4 yards (tackle by Bashaud Breeland),7,14,0.560,1.470
3,13:06,1,10,CIN 38,Joe Burrow pass complete short right to Tee Higgins for 28 yards (tackle by Nick Vigil),7,14,1.470,3.310
3,12:27,1,10,MIN 34,Joe Mixon left tackle for 4 yards (tackle by Eric Kendricks and Michael Pierce),7,14,3.310,3.310
3,11:48,2,6,MIN 30,Joe Burrow pass incomplete deep right intended for Mike Thomas,7,14,3.310,2.610
3,11:43,3,6,MIN 30,Joe Burrow pass complete short right to Tyler Boyd for 5 yards (tackle by Eric Kendricks),7,14,2.610,1.950
3,11:00,4,1,MIN 25,Joe Burrow right guard for 2 yards (tackle by Dalvin Tomlinson),7,14,1.950,4.040
3,10:24,1,10,MIN 23,Joe Mixon right tackle for 7 yards (tackle by Eric Kendricks and Danielle Hunter),7,14,4.040,4.560
3,9:45,2,3,MIN 16,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by Kris Boyd),7,14,4.560,6.740
3,9:19,1,2,MIN 2,Joe Mixon up the middle for 2 yards touchdown,7,20,6.740,7.000
3,9:15,,,MIN 15,Evan McPherson kicks extra point good,7,21,0.000,0.000
3,9:15,,,CIN 35,Evan McPherson kicks off 70 yards returned by Ihmir Smith-Marsette for 21 yards (tackle by Samaje Perine),7,21,0.000,-0.140
3,9:11,1,10,MIN 16,Dalvin Cook right guard for 13 yards (tackle by Logan Wilson),7,21,-0.140,0.870
3,8:39,1,10,MIN 29,Dalvin Cook left guard for no gain (tackle by Larry Ogunjobi),7,21,0.870,0.260
3,8:05,2,11,MIN 29,Dalvin Cook left guard for 8 yards (tackle by Eli Apple),7,21,0.260,0.700
3,7:24,3,2,MIN 37,Kirk Cousins pass complete short left to Ameer Abdullah for 10 yards (tackle by Logan Wilson),7,21,0.700,2.060
3,6:46,1,10,MIN 47,Dalvin Cook left tackle for -1 yards (tackle by Vonn Bell),7,21,2.060,1.380
3,6:41,2,11,MIN 46,Penalty on Oli Udoh: Unnecessary Roughness / Offense 15 yards (accepted) (no play),7,21,1.380,-0.640
3,6:26,2,26,MIN 31,Kirk Cousins pass incomplete short middle intended for Chris Herndon,7,21,-0.640,-1.290
3,6:22,3,26,MIN 31,Kirk Cousins pass complete short middle to K.J. Osborn for 10 yards (tackle by Jessie Bates),7,21,-1.290,-0.650
3,5:41,4,16,MIN 41,Jordan Berry punts 41 yards returned by Darius Phillips for 3 yards (tackle by Troy Dye),7,21,-0.650,-0.340
3,5:31,1,10,CIN 21,Joe Burrow sacked by Michael Pierce for -8 yards,7,21,0.340,-1.350
3,4:49,2,18,CIN 13,Joe Mixon right guard for 2 yards (tackle by Danielle Hunter and Dalvin Tomlinson),7,21,-1.350,-1.960
3,4:06,3,16,CIN 15,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Eric Kendricks and Bashaud Breeland),7,21,-1.960,-1.370
3,3:20,4,1,CIN 30,Joe Mixon right tackle for no gain (tackle by Nick Vigil),7,21,-1.370,-3.580
3,3:15,1,10,CIN 30,Kirk Cousins pass incomplete short left intended for Chris Herndon,7,21,3.580,3.030
3,3:10,2,10,CIN 30,Dalvin Cook left end for 6 yards (tackle by Logan Wilson),7,21,3.030,3.140
3,2:34,3,4,CIN 24,Kirk Cousins pass incomplete short middle intended for Justin Jefferson,7,21,3.140,1.940
3,2:30,4,4,CIN 24,Kirk Cousins pass complete short middle to Adam Thielen for 24 yards touchdown,13,21,1.940,7.000
3,2:24,,,CIN 15,Greg Joseph kicks extra point good,14,21,0.000,0.000
3,2:24,,,MIN 35,Greg Joseph kicks off 65 yards touchback.,14,21,0.000,0.610
3,2:24,1,10,CIN 25,Joe Mixon right tackle for 5 yards (tackle by Nick Vigil and D.J. Wonnum),14,21,0.610,0.740
3,1:46,2,5,CIN 30,Joe Mixon left tackle for 10 yards (tackle by Harrison Smith),14,21,0.740,1.600
3,1:04,1,10,CIN 40,Joe Mixon right end for 19 yards (tackle by Xavier Woods),14,21,1.600,2.850
3,0:30,1,10,MIN 41,Samaje Perine up the middle for 1 yard (tackle by Nick Vigil and Danielle Hunter),14,21,2.850,2.310
4,15:00,2,10,MIN 41,Joe Mixon up the middle for 5 yards (tackle by Sheldon Richardson and Eric Kendricks),14,21,2.310,2.410
4,14:21,3,4,MIN 35,Joe Burrow pass incomplete short left intended for Mike Thomas (defended by Mackensie Alexander),14,21,2.410,0.980
4,14:19,4,4,MIN 35,Evan McPherson 53 yard field goal good,14,24,0.980,3.000
4,14:13,,,CIN 35,Evan McPherson kicks off 65 yards touchback.,14,24,0.000,0.610
4,14:13,1,10,MIN 25,Kirk Cousins pass complete short right to Adam Thielen for 5 yards (tackle by Eli Apple),14,24,0.610,0.740
4,13:39,2,5,MIN 30,Kirk Cousins pass incomplete short middle,14,24,0.740,0.040
4,13:35,3,5,MIN 30,Kirk Cousins pass incomplete short middle intended for Adam Thielen (defended by Akeem Davis-Gaither). Penalty on Trey Hendrickson: Illegal Use of Hands / Defense 5 yards (accepted) (no play),14,24,0.040,1.270
4,13:32,1,10,MIN 35,Dalvin Cook right end for 5 yards (tackle by Vonn Bell),14,24,1.270,1.400
4,13:00,2,5,MIN 40,Kirk Cousins pass complete short middle to C.J. Ham for 6 yards (tackle by Germaine Pratt),14,24,1.400,1.990
4,12:15,1,10,MIN 46,Dalvin Cook right tackle for 2 yards (tackle by Sam Hubbard and D.J. Reader),14,24,1.990,1.720
4,11:37,2,8,MIN 48,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Chidobe Awuzie),14,24,1.720,1.030
4,11:31,3,8,MIN 48,Kirk Cousins pass complete short middle to Dalvin Cook for 9 yards (tackle by Vonn Bell and Chidobe Awuzie),14,24,1.030,2.720
4,10:50,1,10,CIN 43,Kirk Cousins pass complete short middle to K.J. Osborn for 8 yards (tackle by Jordan Evans),14,24,2.720,3.260
4,10:15,2,2,CIN 35,Kirk Cousins pass complete short middle to Justin Jefferson for 34 yards (tackle by Eli Apple and Germaine Pratt) MIN challenged the runner broke the plane ruling and the play was upheld.,14,24,3.260,6.970
4,9:26,1,1,CIN 1,Dalvin Cook left tackle for 1 yard touchdown,20,24,6.970,7.000
4,9:23,,,CIN 15,Greg Joseph kicks extra point good,21,24,0.000,0.000
4,9:23,,,MIN 35,Greg Joseph kicks off 66 yards returned by Brandon Wilson for 11 yards (tackle by Harrison Hand),21,24,0.000,-0.380
4,9:16,1,10,CIN 10,Joe Burrow pass complete short middle to Tyler Boyd for 18 yards (tackle by Harrison Smith),21,24,-0.380,0.810
4,8:45,1,10,CIN 28,Joe Mixon left end for 5 yards (tackle by Eric Kendricks),21,24,0.810,0.940
4,8:16,2,5,CIN 33,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,21,24,0.940,0.230
4,8:11,3,5,CIN 33,Joe Burrow sacked by Danielle Hunter for -8 yards,21,24,0.230,-1.700
4,7:26,4,13,CIN 25,Kevin Huber punts 43 yards out of bounds,21,24,-1.700,-1.070
4,7:18,1,10,MIN 32,Kirk Cousins pass incomplete intended for Adam Thielen. Penalty on Ezra Cleveland: Offensive Holding 10 yards (accepted) (no play),21,24,1.070,0.410
4,7:10,1,20,MIN 22,Dalvin Cook right tackle for no gain (tackle by Germaine Pratt and Larry Ogunjobi),21,24,0.410,-0.820
4,6:28,2,20,MIN 22,Kirk Cousins pass complete short right to K.J. Osborn for 10 yards (tackle by Eli Apple),21,24,-0.820,-0.160
4,5:48,3,10,MIN 32,Kirk Cousins sacked by B.J. Hill for -8 yards,21,24,-0.160,-1.770
4,5:05,4,18,MIN 24,Jordan Berry punts 51 yards downed by Stephen Weatherly,21,24,-1.770,-0.610
4,4:52,1,10,CIN 25,Joe Mixon left end for 9 yards (tackle by Xavier Woods),21,24,0.610,1.280
4,4:10,2,1,CIN 34,Joe Mixon right guard for 12 yards (tackle by Harrison Smith),21,24,1.280,1.990
4,3:22,1,10,CIN 46,Joe Mixon right end for -1 yards (tackle by Dalvin Tomlinson and Michael Pierce),21,24,1.990,1.250
4,2:41,2,12,CIN 45,Samaje Perine right guard for 7 yards (tackle by Bashaud Breeland),21,24,1.250,1.550
4,2:00,3,4,MIN 48,Joe Mixon left tackle for 1 yard (tackle by Stephen Weatherly),21,24,1.550,0.130
4,1:55,4,3,MIN 47,Kevin Huber punts 42 yards downed by Stanley Morgan,21,24,0.130,0.380
4,1:48,1,10,MIN 5,Kirk Cousins pass complete short middle to Dalvin Cook for 7 yards (tackle by Vonn Bell and Ricardo Allen),21,24,-0.380,-0.270
4,1:31,2,3,MIN 12,Kirk Cousins pass complete deep middle to Tyler Conklin for 27 yards (tackle by Jessie Bates),21,24,-0.270,1.530
4,1:11,1,10,MIN 39,Kirk Cousins pass incomplete deep left intended for K.J. Osborn,21,24,1.530,0.990
4,1:07,2,10,MIN 39,Kirk Cousins pass complete short right to Dalvin Cook for no gain (tackle by Ricardo Allen),21,24,0.990,0.300
4,1:01,3,10,MIN 39,Kirk Cousins pass complete short right to K.J. Osborn for 6 yards (tackle by Chidobe Awuzie and Ricardo Allen),21,24,0.300,-0.390
4,0:38,4,4,MIN 45,Kirk Cousins pass complete short middle to K.J. Osborn for 6 yards (tackle by Mike Hilton),21,24,-0.390,2.320
4,0:19,1,10,CIN 49,Kirk Cousins pass complete short right to Adam Thielen for 14 yards (tackle by Eli Apple),21,24,2.320,3.250
4,0:03,1,10,CIN 35,Kirk Cousins spiked the ball,21,24,3.250,2.700
4,0:03,2,10,CIN 35,Greg Joseph 53 yard field goal good,24,24,2.700,3.000
,,,,,Bengals won the coin toss Bengals to receive the overtime kickoff.,,,,
OT,10:00,,,MIN 35,Greg Joseph kicks off 65 yards touchback.,24,24,0.000,0.610
OT,10:00,1,10,CIN 25,Joe Mixon left tackle for 2 yards (tackle by Dalvin Tomlinson),24,24,0.610,0.330
OT,9:23,2,8,CIN 27,Joe Mixon right end for 8 yards (tackle by Bashaud Breeland),24,24,0.330,1.270
OT,8:48,1,10,CIN 35,Joe Burrow pass complete short right to Mike Thomas for 5 yards (tackle by Kris Boyd),24,24,1.270,1.400
OT,8:05,2,5,CIN 40,Joe Mixon right tackle for 2 yards (tackle by Michael Pierce),24,24,1.400,0.960
OT,7:24,3,3,CIN 42,Joe Burrow sacked by Michael Pierce for -6 yards,24,24,0.960,-0.980
OT,6:40,4,9,CIN 36,Kevin Huber punts 43 yards fair catch by Dede Westbrook at MIN-21,24,24,-0.980,-0.340
OT,6:32,1,10,MIN 21,Dalvin Cook left guard for -1 yards (tackle by Germaine Pratt),24,24,0.340,-0.340
OT,5:56,2,11,MIN 20,Kirk Cousins pass incomplete short right,24,24,-0.340,-1.020
OT,5:51,3,11,MIN 20,Kirk Cousins pass complete short middle to Adam Thielen for 7 yards (tackle by Darius Phillips) Penalty on MIN: Illegal Formation 5 yards (declined),24,24,-1.020,-1.570
OT,5:32,4,4,MIN 27,Jordan Berry punts 63 yards fair catch by Darius Phillips at CIN-10,24,24,-1.570,0.380
OT,5:24,1,10,CIN 10,Joe Mixon right guard for 4 yards (tackle by Danielle Hunter),24,24,-0.380,-0.460
OT,4:41,2,6,CIN 14,Joe Mixon right tackle for no gain (tackle by Armon Watts),24,24,-0.460,-0.950
OT,3:57,3,6,CIN 14,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,24,24,-0.950,-2.470
OT,3:54,4,6,CIN 14,Kevin Huber punts 61 yards returned by Dede Westbrook for 12 yards (tackle by Samaje Perine),24,24,-2.470,-1.400
OT,3:40,1,10,MIN 37,Dalvin Cook right tackle for no gain (tackle by Mike Hilton and D.J. Reader),24,24,1.400,0.860
OT,3:06,2,10,MIN 37,Kirk Cousins pass incomplete short right intended for Justin Jefferson. Penalty on Chidobe Awuzie: Defensive Holding 5 yards (accepted) (no play),24,24,0.860,1.730
OT,3:00,1,10,MIN 42,Kirk Cousins pass complete short right to C.J. Ham for 3 yards,24,24,1.730,1.590
OT,2:53,2,7,MIN 45,Kirk Cousins pass complete short left to Adam Thielen for 5 yards (tackle by Chidobe Awuzie),24,24,1.590,1.550
OT,2:18,3,2,MIN 50,Kirk Cousins pass complete short middle to Justin Jefferson for 12 yards (tackle by Chidobe Awuzie),24,24,1.550,3.050
OT,2:00,1,10,CIN 38,Dalvin Cook right tackle for -1 yards. Dalvin Cook fumbles (forced by Germaine Pratt) recovered by Germaine Pratt at CIN-39 (tackle by Germaine Pratt and Jessie Bates),24,24,3.050,-1.530
OT,1:48,1,10,CIN 39,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Danielle Hunter),24,24,1.530,1.730
OT,1:21,2,5,CIN 45,Joe Mixon right end for 2 yards (tackle by Stephen Weatherly),24,24,1.730,1.360
OT,1:11,3,2,CIN 47,Joe Mixon up the middle for 1 yard (tackle by Nick Vigil),24,24,1.360,-0.190
OT,0:40,4,1,CIN 48,Joe Burrow pass complete short left to C.J. Uzomah for 32 yards (tackle by Xavier Woods),24,24,-0.190,4.240
OT,0:31,1,10,MIN 20,Joe Mixon up the middle for 5 yards (tackle by Blake Lynch and Eric Kendricks),24,24,4.240,4.280
OT,0:06,2,6,MIN 16,Joe Burrow spiked the ball,24,24,4.280,3.520
OT,0:05,3,6,MIN 16,Evan McPherson 34 yard field goal good,24,27,3.520,3.000
