,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
78,Detroit Mercy,31,11,20,.355,-6.33,-0.36,,8,10,,6,6,,4,14,,2279,2464,,70.4,112.9,.327,.410,.574,54.3,67.8,8.0,10.1,.544,16.8,35.8,.239
79,Drake,34,24,10,.706,2.52,-0.66,,12,6,,13,2,,7,6,,2563,2387,,69.6,99.0,.294,.364,.513,48.9,42.3,10.2,9.0,.482,14.9,25.5,.205
80,Drexel,32,13,19,.406,-7.02,-2.93,,7,11,,9,7,,3,11,,2425,2475,,70.0,110.5,.302,.342,.567,48.1,47.2,8.7,9.4,.546,13.3,25.6,.204
81,Duke NCAA,38,32,6,.842,26.90,11.98,,14,4,,15,2,,7,2,,3143,2576,,73.2,92.3,.240,.349,.479,46.2,49.9,8.7,8.0,.450,16.7,29.1,.167
82,Duquesne,32,19,13,.594,0.53,-0.63,,10,8,,14,4,,4,6,,2351,2314,,70.5,101.4,.319,.346,.528,51.8,55.4,9.6,11.2,.499,18.3,34.7,.217
83,East Carolina,31,10,21,.323,-5.49,1.31,,3,15,,8,9,,1,11,,2088,2299,,69.9,104.8,.418,.371,.547,52.1,54.3,9.4,9.7,.510,16.9,30.9,.292
84,East Tennessee State,34,24,10,.706,5.21,-1.79,,13,5,,13,3,,8,6,,2707,2371,,70.2,98.3,.304,.407,.539,42.7,51.8,9.5,8.9,.512,18.3,23.3,.210
85,Eastern Illinois,32,14,18,.438,-11.81,-5.01,,7,11,,7,6,,5,10,,2299,2457,,69.0,108.7,.333,.406,.559,50.8,56.6,9.8,8.9,.531,16.2,30.3,.235
86,Eastern Kentucky,31,13,18,.419,-7.40,-2.47,,6,12,,9,5,,3,11,,2562,2577,,79.9,101.9,.397,.346,.561,52.5,51.9,8.3,9.0,.525,19.8,29.8,.285
87,Eastern Michigan,32,15,17,.469,0.40,4.43,,9,9,,11,7,,4,10,,2203,2213,,66.5,102.7,.300,.424,.529,49.0,67.9,10.0,8.2,.502,17.6,33.7,.204
88,Eastern Washington,34,16,18,.471,-6.77,-4.17,,12,8,,9,4,,4,13,,2460,2527,,69.5,105.4,.346,.395,.559,50.1,51.5,8.5,8.8,.527,15.3,23.3,.248
89,Elon,32,11,21,.344,-11.53,-3.56,,7,11,,5,11,,6,7,,2266,2445,,69.0,109.9,.288,.398,.556,52.0,51.8,9.8,7.0,.527,13.5,27.6,.210
90,Evansville,32,11,21,.344,-3.84,0.13,,5,13,,9,7,,2,13,,2234,2317,,70.8,101.1,.360,.325,.530,52.7,45.4,7.8,9.3,.498,15.5,25.2,.245
91,Fairfield,31,9,22,.290,-10.20,-7.14,,6,12,,5,7,,3,13,,2072,2167,,68.1,102.6,.401,.356,.560,52.4,51.5,9.5,10.7,.526,18.9,28.6,.282
92,Fairleigh Dickinson NCAA,35,21,14,.600,-6.09,-7.24,,12,6,,13,4,,7,9,,2620,2515,,68.7,103.2,.298,.387,.540,50.7,52.1,8.9,9.2,.513,17.9,31.9,.207
93,Florida A&M,31,12,19,.387,-13.57,-8.09,,9,7,,6,3,,6,14,,1927,2057,,67.1,98.6,.402,.372,.525,52.1,50.1,10.2,7.6,.484,19.0,32.1,.282
94,Florida Atlantic,33,17,16,.515,-1.42,-1.76,,8,10,,9,5,,6,9,,2322,2243,,70.3,95.6,.303,.411,.507,47.6,49.7,10.6,7.2,.476,16.7,25.2,.208
95,Florida Gulf Coast,32,14,18,.438,-5.11,-1.48,,9,7,,10,4,,4,10,,2280,2360,,71.1,103.7,.272,.407,.542,51.7,56.9,9.9,9.7,.517,17.0,30.4,.191
96,Florida International,34,20,14,.588,-4.55,-1.45,,10,8,,12,4,,6,9,,2798,2734,,80.8,99.5,.338,.366,.549,54.6,51.2,8.7,11.2,.518,21.1,33.1,.237
97,Florida State NCAA,37,29,8,.784,17.99,10.26,,13,5,,15,1,,6,4,,2771,2485,,69.5,95.4,.357,.388,.514,46.8,43.8,7.8,8.4,.472,18.0,26.3,.257
98,Florida NCAA,36,20,16,.556,15.42,11.22,,9,9,,9,6,,5,6,,2440,2289,,64.7,97.3,.336,.381,.515,50.8,48.3,9.4,9.1,.481,19.2,32.1,.233
99,Fordham,32,12,20,.375,-5.02,-2.40,,3,15,,9,10,,3,8,,2108,2141,,66.4,99.6,.368,.367,.528,52.5,61.8,8.3,8.6,.492,17.1,27.5,.256
100,Fresno State,32,23,9,.719,8.99,0.67,,13,5,,13,4,,7,3,,2448,2162,,69.6,96.7,.345,.411,.519,49.0,51.9,8.1,10.6,.482,17.4,25.5,.244
101,Furman,33,25,8,.758,7.46,-1.50,,13,5,,13,3,,11,4,,2562,2182,,68.3,95.4,.233,.384,.503,49.2,46.6,10.3,10.7,.480,17.9,29.4,.158
102,Gardner-Webb NCAA,35,23,12,.657,-2.61,-4.43,,11,6,,13,0,,8,9,,2718,2468,,68.5,100.7,.276,.453,.519,50.8,54.0,8.4,8.2,.488,16.5,30.0,.198
103,George Mason,33,18,15,.545,0.84,0.08,,11,7,,11,6,,6,6,,2314,2289,,68.1,101.1,.306,.391,.528,48.7,49.8,9.9,10.8,.502,16.0,27.1,.205
104,George Washington,33,9,24,.273,-6.65,1.20,,4,14,,6,11,,2,10,,2097,2356,,67.5,104.2,.302,.402,.535,52.6,54.7,9.9,9.1,.512,15.0,28.4,.199
105,Georgetown,33,19,14,.576,6.80,5.31,,9,9,,13,6,,5,6,,2625,2576,,73.2,103.8,.303,.406,.533,48.0,54.1,10.2,9.1,.501,14.3,26.0,.217
106,Georgia Southern,33,21,12,.636,3.75,0.13,,12,6,,10,4,,7,7,,2726,2489,,75.2,99.6,.303,.385,.535,49.2,48.4,7.5,7.5,.505,18.3,28.5,.214
107,Georgia State NCAA,34,24,10,.706,2.44,0.65,,13,5,,13,1,,7,7,,2598,2491,,71.3,102.7,.308,.451,.530,54.6,58.7,7.0,9.7,.499,17.9,33.8,.216
108,Georgia Tech,32,14,18,.438,6.93,8.15,,6,12,,11,7,,3,9,,2091,2130,,68.1,97.3,.348,.377,.495,51.8,61.1,10.3,9.5,.456,16.0,31.6,.240
109,Georgia,32,11,21,.344,5.31,8.12,,2,16,,8,9,,2,9,,2274,2364,,70.4,104.9,.299,.358,.516,47.9,45.3,10.6,9.0,.485,13.2,31.0,.210
110,Gonzaga NCAA,37,33,4,.892,27.79,5.01,,16,0,,17,0,,9,1,,3243,2400,,71.7,90.4,.259,.349,.474,45.3,41.4,7.6,5.8,.442,16.5,26.0,.180
