,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
303,Tennessee State,30,9,21,.300,-11.62,-3.15,,6,12,,6,7,,3,14,,2182,2332,,1210,752,1615,.466,215,573,.375,613,859,.714,270,1034,344,193,110,453,566
304,Tennessee Tech,31,8,23,.258,-14.76,-3.00,,4,14,,5,10,,3,13,,2104,2350,,1250,840,1904,.441,235,697,.337,435,610,.713,368,1200,503,261,106,450,572
305,Tennessee NCAA,37,31,6,.838,21.55,10.16,,15,3,,18,0,,7,3,,3035,2580,,1505,888,2199,.404,311,893,.348,493,755,.653,421,1270,455,230,95,472,694
306,Texas A&M-Corpus Christi,32,14,18,.438,-9.11,-5.68,,9,9,,9,7,,5,9,,2126,2124,,1290,694,1694,.410,239,691,.346,497,673,.738,281,1044,399,210,110,444,562
307,Texas A&M,32,14,18,.438,7.21,8.59,,6,12,,9,8,,3,7,,2253,2297,,1280,828,1960,.422,278,839,.331,363,529,.686,395,1160,483,229,149,410,561
308,Texas-Arlington,33,17,16,.515,-0.50,0.84,,12,6,,9,5,,7,10,,2284,2303,,1345,798,1888,.423,216,725,.298,491,707,.694,330,1157,416,205,129,428,609
309,Texas Christian,37,23,14,.622,13.81,9.60,,7,11,,15,5,,3,7,,2730,2574,,1500,948,2209,.429,242,795,.304,436,612,.712,376,1259,567,223,143,484,597
310,Texas-El Paso,29,8,21,.276,-8.23,-1.71,,3,15,,8,8,,0,13,,1859,2001,,1170,709,1686,.421,218,618,.353,365,554,.659,295,1053,341,197,101,391,581
311,Texas-Rio Grande Valley,37,20,17,.541,-2.04,-1.61,,9,7,,11,9,,8,7,,2634,2623,,1490,895,2013,.445,234,695,.337,599,863,.694,411,1436,510,225,131,654,820
312,Texas-San Antonio,32,17,15,.531,0.69,0.05,,11,7,,11,4,,5,7,,2481,2407,,1295,842,1969,.428,255,786,.324,468,662,.707,327,1257,409,186,103,434,525
313,Texas Southern,38,24,14,.632,-5.55,-6.99,,14,4,,10,2,,13,11,,3102,3008,,1550,1101,2440,.451,303,870,.348,503,772,.652,450,1460,605,279,137,589,798
314,Texas State,34,24,10,.706,1.54,-3.00,,12,6,,11,4,,10,5,,2470,2204,,1370,740,1795,.412,218,706,.309,506,699,.724,280,1085,360,215,133,499,634
315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,,14,4,,17,1,,6,3,,2765,2261,,1530,751,2027,.370,243,816,.298,516,743,.694,373,1254,372,237,94,586,706
316,Texas,37,21,16,.568,16.06,11.46,,8,10,,15,6,,2,8,,2628,2458,,1495,882,2084,.423,264,746,.354,430,618,.696,374,1302,423,188,122,469,610
317,Toledo,33,25,8,.758,8.21,0.71,,13,5,,14,2,,8,5,,2537,2256,,1330,832,2026,.411,224,707,.317,368,538,.684,327,1160,342,214,90,366,552
318,Towson,32,10,22,.313,-8.44,-3.57,,6,12,,5,8,,4,8,,2170,2294,,1310,781,1792,.436,293,827,.354,439,590,.744,287,1022,466,175,75,327,527
319,Troy,30,12,18,.400,-6.12,-1.01,,5,13,,8,8,,4,10,,2179,2242,,1210,795,1775,.448,253,674,.375,399,569,.701,323,1070,389,183,59,375,501
320,Tulane,31,4,27,.129,-6.72,3.63,,0,18,,3,12,,0,11,,2082,2403,,1240,863,1959,.441,255,759,.336,422,619,.682,357,1195,447,231,108,335,566
321,Tulsa,32,18,14,.563,4.65,3.86,,8,10,,14,3,,3,8,,2296,2271,,1290,793,1934,.410,279,851,.328,406,587,.692,356,1180,442,215,100,395,626
322,UCLA,33,17,16,.515,7.17,6.78,,9,9,,13,5,,3,7,,2580,2567,,1335,918,2165,.424,311,897,.347,420,598,.702,364,1219,555,232,111,368,646
323,Utah State NCAA,35,28,7,.800,11.98,0.89,,15,3,,14,1,,9,4,,2753,2349,,1410,790,2008,.393,282,800,.353,487,682,.714,293,1096,403,215,120,432,684
324,Utah Valley,35,25,10,.714,3.00,-2.30,,12,4,,14,1,,8,8,,2697,2474,,1400,888,2087,.425,264,755,.350,434,605,.717,319,1124,462,255,96,410,690
325,Utah,31,17,14,.548,6.13,5.10,,11,7,,10,5,,6,5,,2343,2311,,1245,827,1805,.458,234,657,.356,423,586,.722,287,1001,395,183,123,309,579
326,Valparaiso,33,15,18,.455,-3.38,-1.00,,7,11,,8,7,,5,8,,2205,2187,,1335,788,1822,.432,214,645,.332,397,564,.704,286,1079,399,226,95,420,555
327,Vanderbilt,32,9,23,.281,3.57,7.79,,0,18,,8,10,,1,10,,2180,2315,,1285,816,1884,.433,234,671,.349,449,627,.716,335,1136,385,209,114,362,597
328,Vermont NCAA,34,27,7,.794,4.88,-4.18,,14,2,,16,2,,11,4,,2508,2143,,1370,768,1834,.419,240,693,.346,367,503,.730,241,1050,353,187,94,439,657
329,Villanova NCAA,36,26,10,.722,14.33,7.97,,13,5,,13,2,,5,6,,2654,2425,,1455,877,2012,.436,274,799,.343,397,567,.700,334,1190,492,188,83,414,656
330,Virginia Commonwealth NCAA,33,25,8,.758,11.96,2.87,,16,2,,16,1,,8,4,,2344,2044,,1330,706,1822,.387,172,604,.285,460,667,.690,374,1171,358,212,87,535,640
331,VMI,32,11,21,.344,-10.50,0.09,,4,14,,8,7,,2,13,,2433,2617,,1290,944,1987,.475,290,782,.371,439,618,.710,307,1243,492,193,120,410,546
332,Virginia Tech NCAA,35,26,9,.743,19.28,7.79,,12,6,,14,2,,5,5,,2574,2172,,1410,758,1856,.408,303,927,.327,353,489,.722,307,1058,428,176,107,491,575
333,Virginia NCAA,38,35,3,.921,25.46,10.15,,16,2,,15,1,,10,1,,2714,2132,,1535,769,1995,.385,245,848,.289,349,524,.666,323,1132,334,189,103,407,592
334,Wagner,30,13,17,.433,-12.99,-7.63,,8,10,,7,7,,6,10,,1974,2044,,1205,659,1533,.430,221,635,.348,505,712,.709,273,1009,358,177,87,398,544
335,Wake Forest,31,11,20,.355,1.21,8.47,,4,14,,8,8,,1,10,,2119,2344,,1250,830,1788,.464,246,721,.341,438,630,.695,288,1074,470,220,137,345,602
336,Washington State,32,11,21,.344,-1.67,2.20,,4,14,,9,7,,2,8,,2393,2517,,1280,927,1967,.471,297,820,.362,366,558,.656,334,1155,493,233,82,393,542
337,Washington NCAA,36,27,9,.750,12.01,7.01,,15,3,,15,1,,7,4,,2511,2331,,1445,814,1958,.416,231,691,.334,472,665,.710,418,1245,477,217,89,587,657
338,Weber State,33,18,15,.545,-4.37,-6.12,,11,9,,10,5,,5,7,,2617,2454,,1330,895,2090,.428,215,684,.314,449,642,.699,333,1228,404,190,92,388,624
339,West Virginia,36,15,21,.417,6.94,10.57,,4,14,,11,7,,0,10,,2655,2786,,1460,967,2109,.459,276,763,.362,576,801,.719,362,1261,486,298,133,484,766
340,Western Carolina,32,7,25,.219,-9.28,0.34,,4,14,,4,8,,3,14,,2304,2563,,1295,904,1883,.480,241,720,.335,514,760,.676,279,1033,420,281,133,337,610
341,Western Illinois,31,10,21,.323,-10.04,-5.18,,4,12,,7,6,,2,14,,2198,2272,,1245,828,1872,.442,276,717,.385,340,504,.675,283,1149,385,181,89,331,468
342,Western Kentucky,34,20,14,.588,3.14,0.96,,11,7,,10,4,,6,8,,2429,2355,,1380,855,2040,.419,287,832,.345,358,522,.686,348,1177,445,201,124,439,617
343,Western Michigan,32,8,24,.250,-6.26,1.48,,2,16,,5,9,,2,14,,2246,2439,,1300,878,1964,.447,278,759,.366,405,581,.697,322,1128,444,253,108,353,593
344,Wichita State,37,22,15,.595,7.72,5.91,,10,8,,10,4,,7,7,,2609,2542,,1485,863,2082,.415,256,776,.330,560,808,.693,349,1303,430,191,147,449,624
345,William & Mary,31,14,17,.452,-4.78,-2.08,,10,8,,9,5,,5,11,,2321,2385,,1265,852,1862,.458,255,682,.374,426,559,.762,276,1061,413,209,85,339,518
346,Winthrop,30,18,12,.600,-2.89,-3.74,,10,6,,11,3,,7,8,,2499,2358,,1210,842,1945,.433,266,792,.336,408,571,.715,295,1073,402,220,95,349,553
347,Wisconsin NCAA,34,23,11,.676,17.90,11.01,,14,6,,12,3,,8,5,,2333,2099,,1385,774,1950,.397,215,682,.315,336,503,.668,327,1207,352,176,138,387,591
348,Wofford NCAA,35,30,5,.857,13.92,0.80,,18,0,,15,1,,11,3,,2879,2295,,1410,818,1924,.425,248,773,.321,411,585,.703,271,1029,397,191,88,482,542
349,Wright State,35,21,14,.600,3.29,-0.89,,13,5,,15,2,,5,8,,2561,2365,,1405,865,1906,.454,263,726,.362,372,534,.697,283,1122,385,190,125,485,655
350,Wyoming,32,8,24,.250,-9.75,0.19,,4,14,,6,10,,1,11,,2105,2411,,1285,835,1880,.444,264,766,.345,477,649,.735,317,1218,474,218,88,388,607
351,Xavier,35,19,16,.543,9.61,8.06,,9,9,,13,5,,4,8,,2526,2472,,1420,898,2081,.432,313,879,.356,363,519,.699,340,1120,500,240,110,370,607
352,Yale NCAA,30,22,8,.733,5.52,-1.24,,10,4,,11,2,,8,5,,2427,2202,,1215,779,1890,.412,223,719,.310,421,577,.730,285,1029,381,209,93,338,513
353,Youngstown State,32,12,20,.375,-7.78,-2.05,,8,10,,6,7,,5,11,,2415,2526,,1305,880,1898,.464,250,732,.342,516,703,.734,316,1137,451,188,107,390,502
